,id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing,first_appeared_fixed,last_appeared_fixed
4936,411934,"fruit, cereals, coffee and rolls",coffee with food,1,1,1,1917,1917,0.2,False,0.2,False,1917,1917
4937,411998,cruller or half coffee cake,coffee cake,1,1,1,1917,1917,0.05,False,0.05,False,1917,1917
4938,412839,Bohnenkaffee mit Rahm und Zucker,coffee,1,1,1,1958,1958,0.0,False,0.0,False,1958,1958
4939,412857,"Tea, or Coffee",coffee,1,1,1,1917,1917,0.05,False,0.05,False,1917,1917
4940,412959,coffee cake,coffee cake,1,4,4,1914,1917,0.05,False,0.1,False,1914,1917
4941,413162,Waldorf -Astoria coffee,coffee,1,1,1,1917,1917,0.5,False,0.5,False,1917,1917
4942,413181,Apollinaris coffee,coffee,1,2,2,1917,1917,0.0,False,0.6,False,1917,1917
4943,413235,Coffee Per Pot,coffee (pot),1,1,1,1917,1917,0.25,False,0.25,False,1917,1917
4944,413524,Cafe Glaces,coffee glacé,1,1,0,1917,1917,0.4,False,0.4,False,1917,1917
4945,413562,"Creamed Finnan Haddie with Fresh Mushrooms on Toast, Garden Vegetable and Parsley Potatoes, Bread and Butter, Coffee, Tea, Individual Milk",coffee with food,1,1,1,1946,1946,1.1,False,1.1,False,1946,1946
4946,413588,Demi-tasse (in pot),espresso (pot),1,1,1,1917,1917,0.15,False,0.15,False,1917,1917
4947,413608,"American Vanilla, Coffee, Chocolate or Pistache",coffee ice cream,1,1,1,1917,1917,0.3,False,0.3,False,1917,1917
4948,413814,Iced Tea or Coffee,iced coffee,1,1,1,1987,1987,0.75,False,0.75,False,1987,1987
4949,413904,Waldorf Astoria Cofee (one pound can),coffee in tin,1,1,1,1917,1917,0.5,False,0.5,False,1917,1917
4950,414206,"French ice cream, Coffee",coffee ice cream,1,1,1,1917,1917,0.3,False,0.3,False,1917,1917
4951,414337,"Prime Rib of Western Beef Roasted at its Finest, Rare, Medium or Well Done...With French Fried Potatoes, Chefs Special Salad, Hot Rolls and Butter, Coffee, Tea, or Milk",coffee with food,1,1,1,1940,1940,0.75,False,0.75,False,1940,1940
4952,414433,Filtercafe,coffee,1,1,1,1969,1969,0.0,False,0.0,False,1969,1969
4953,414513,Fleischmann's special coffee,coffee,1,1,1,1917,1917,0.4,False,0.4,False,1917,1917
4954,414594,Pot de Creme au Cafe,coffee (pot),1,1,1,1917,1917,0.35,False,0.35,False,1917,1917
