id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing
328780,"Cold or Broiled Lobster Blueplate, Rice Pilaw or Julienne Potatoes, Green Salad, Toasted Rolls, Milk, Tea, Coffee",coffee with food,1,1,0,1940,1940,0.9,false,0.9,false
328796,"Shopper's Luncheon, apple juice, minted fruit cup, cream of asparagus soup, Broiled Mackerel, Parsley Potato, Green Salad, Ice Cream or Sherbet, Rolls, Milk Tea or Coffee",coffee with food,1,1,0,1940,1940,0.0,false,0.0,false
328798,"Shopper's Luncheon, apple juice, minted fruit cup, cream of asparagus soup, Roast Shoulder of Spring Lamb, New wax beans, Mashed Potatoes, Ice Cream or Sherbet, Rolls, Milk Tea or Coffee",coffee with food,1,1,0,1940,1940,0.65,false,0.65,false
328799,"Shopper's Luncheon, apple juice, minted fruit cup, cream of asparagus soup, stuffed pepper with chopped meat and rice, asparagus tips, hollandaise sauce, Ice Cream or Sherbet, Rolls, Milk Tea or Coffee",coffee with food,1,1,0,1940,1940,0.0,false,0.0,false
328817,"Genuine Calf's Liver Saute with Bacon, Lyonnaise Potatoes, Buttered String Beans, Choice of Pie or Jello, Coffee, Tea, or Milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328819,"London Mixed Grill with Lamb Chop, Baked Stuffed Fancy Tomato, French-Fried Potatoes, Choice of Pie or Jello, Coffee, Tea, or Milk",coffee with food,1,1,1,1940,1940,0.75,false,0.75,false
328821,"Creamed Chipped Beef on Toast and Poached Egg, Mashed Potatoes, Sifted June Peas, Bread and Butter, Coffee, Tea, or Milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328824,"Fresh Green Shrimp Salad, Mayonnaise, Graham Bread, Cottage Cheese, Apple Sauce, Milk, or Buttermilk, or Tea, or Cafe au lait",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328954,"No. 1 - Fresh Orange Juice, Coffee, Tea, Milk",coffee,1,1,1,1940,1940,0.0,false,0.0,false
329036,Ice Tea or Coffee,iced coffee,1,3,3,1933,1975,0.1,false,0.45,false
329079,"FRIED JUMBO LOUISIANA FROG or FRESH SHAD-ROE Soup or Appetizer French Fried Potatoes and Salad - Rolls and Butter Coffee, Tea or Beer",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329080,"GRILLED PRIME STEER SIRLOIN Soup or Appetizer Fr. Fr. Potatoes and Head Lettuce, 1000 Isle. Dressing Home Baked Rolls with Butter Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329081,Broiled Fresh Florida Pompano French Fried Potatoes & Lettuce with 1000 Isle. Dressing Coffee or Tea,coffee with food,1,1,1,1940,1940,1.0,false,1.0,false
329082,"PLANKED A la Shevlin, Broiled Lake Erie Whitefish, Rolls & Butter Coffee or Tea",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329083,"Broiled (Half) Battery Fed Chicken Soup or Appetizer Fr. Fr. Potatoes, Lettuce & Tomato Salad Coffee, Tea or Milk",coffee with food,1,1,1,1940,1940,1.0,false,1.0,false
329086,"Lobster NORTH ATLANTIC ""OCEAN CLEAR"" Shoe String Potates and Fresh Cole Slaw & Coffee",coffee (pot),1,1,1,1940,1940,0.0,false,0.0,false
329087,"Swordfish Grilled Block Island Swordfish on Sizzling Platter, French Fried Pottoes & Lettuce Salad, Rolls and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.9,false,0.9,false
329171,"Iced Coffee or Tea, Pot",iced coffee (pot),1,1,1,1940,1940,0.0,false,0.0,false
329172,Coffee or Tea (Pot),coffee (pot),1,2,2,1938,1940,0.15,false,0.25,false
329174,"Shore Dinner Special: Whole Broiled Baby Lobster, Drawn Butter, Julienne Potates, Broccoli Hollandaise, combination Salad rolls and Butter Coffe",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329175,"Breast of Chicken Under Glass Marie Antoinette, Baby Lima Beans, Parisienne Potatoes, Fruit Salad Rolls and Butter Coffee",coffee with food,1,1,1,1940,1940,1.25,false,1.25,false
329176,"Sirloin Steak off the Grill, French Fried Potatoes, New Asparagus, Chopped Combination Salad, Rolls and Butter Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329225,"WHOLE CHICKEN LOBSTER BROILED, DRAWN BUTTER, Shoe String Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329226,"TUNA FISH SALAD, PICKLES, POTATO CHIPS, Ripe Olive, Lime Sherbet, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.7,false,0.7,false
329227,"FRESH SHRIMP AND MUSHROOMS, AUGRATIN, Head Lettuce, Choice Dressing, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.6,false,0.6,false
